,맥주정보,검색이름,맥주이름
0,"Susie33(1,750)
🇺🇸Staunton, United States
4.0June 16, 2021
Bubbly gold pour. Thin foam. Hops and yeast..sweet wheat flavor with a sweet wheat and hop finish. Medium carbonated. Not heavy at all.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cass Light,Cass Light
1,"obguthr(10,282)
🇺🇸Staunton, United States
2.0June 16, 2021
Tall boy @ Foodmaxx Harrisonburg VA: Rice nose, fingernail polish on the edges. Crystal clear yellow, medium head, minimal retention, some lace. Very little flavor, cane sugar,…
Show more
CAN
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Cass Light,Cass Light
2,"Oakes(26,129)
🇨🇦Kelowna, Canada
0.8February 27, 2020
Very light, transluscent, watery and appley.  Egads. Really not good at all, this one.
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
2",Cass Light,Cass Light
3,"Boxereddy(634)
🇧🇪Belgium
2.5April 28, 2019
Neus: graan, brood
Uiterlijk: helder gouden bier met ruime witte schuimkraag…
Show more
CAN
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Cass Light,Cass Light
4,"CiderKeep36(0)
2.7January 25, 2019
Honestly, for a light beer made for mass market, it's way better than most of them of the same kind... Miller, Bud, kronenbourg, etc are far behind in my opinion... A refreshin…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
12",Cass Light,Cass Light
5,"crossovert(16,930)
🇺🇸Chicago, United States
1.9September 27, 2018
33cl bottle. The marketing for this is trying to be American as hard as it possibly can. Light gold pour, white head. aroma is ""cold"", haha, no i mean it is pretty aromaless, some ""ginger""…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
3
Overall
6",Cass Light,Cass Light
6,"TBone(24,096)
🇫🇮Pori, Finland
1.6June 28, 2018
Can 500ml (in Jeju). Pale golden colour, small white head. Neutral corny aroma. Light-bodied. Watery and fizzy. Only hints on corn, citrus and rubber. Harmless as it doesn't…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Light,Cass Light
7,"AlexRit(12)
🇭🇰Hong Kong
1.2May 27, 2018
Pale colour. Very light taste, quite watery. Typical Korean commercial lager. Not for beer afficionados.
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Cass Light,Cass Light
8,"fredthecat(536)
🇨🇦Canada
1.4April 13, 2018
industrial smell, piss clear with no head. taste is soda water, hard carbonation. not good, but lacking the gross corniness of cass regular. it's about 0.1pts above cass.
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
6",Cass Light,Cass Light
9,"jbruner(8,436)
🇺🇸Lakewood, United States
2.1April 8, 2018
Pours a clear straw yellow on tap with bubbly white head that dissipates to leave light lace. Aroma and taste of a light adjunct rice lager, crisp and refreshing, but unexciting.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
6
1",Cass Light,Cass Light
10,"Erzengel(13,537)
🇩🇪Saarland & Düsseldorf, Germany
1.4April 24, 2017
Bottle in Seoul. Fresh smooth watery beginning. Malty smooth, mild watery, very watery. Intense mild, no aroma, no depth, no bitterness. Very bad.
Aroma
1
Appearance
4
Flavor
1
Mouthfeel
4
Overall
4",Cass Light,Cass Light
